0	0	0
1.73165e-07	-6.91457e-05	0.0368138
1.38518e-06	-0.000276561	0.0736248
4.67479e-06	-0.000622238	0.110435
1.10807e-05	-0.00110616	0.147244
2.16415e-05	-0.00172831	0.184051
3.73957e-05	-0.00248865	0.220856
5.93819e-05	-0.00338716	0.257659
9.06415e-05	-0.00449019	0.296661
0.000135385	-0.00586681	0.339101
0.000198283	-0.00756571	0.385082
0.00028527	-0.00964109	0.434701
0.000403794	-0.012153	0.488056
0.000563106	-0.0151676	0.545238
0.000774588	-0.0187574	0.606338
0.00105212	-0.0230017	0.671442
0.00141248	-0.0279866	0.740633
0.00187581	-0.0338052	0.813992
0.00246611	-0.0405584	0.891596
0.00321183	-0.0483542	0.97352
0.00414639	-0.0573085	1.05983
0.00530896	-0.0675454	1.1506
0.0067451	-0.0791964	1.24589
0.00845576	-0.0920276	1.34303
0.0104325	-0.105802	1.44004
0.0126941	-0.120514	1.5369
0.0152593	-0.136158	1.63361
0.0181466	-0.152727	1.73016
0.0213745	-0.170215	1.82653
0.0249612	-0.188615	1.92272
0.0289251	-0.207919	2.01872
0.033284	-0.228121	2.11451
0.0380558	-0.249211	2.2101
0.0432583	-0.271181	2.30546
0.0489089	-0.294023	2.40059
0.055025	-0.317727	2.49549
0.0616237	-0.342284	2.59013
0.068722	-0.367684	2.68451
0.0763366	-0.393917	2.77863
0.0844841	-0.420973	2.87247
0.0931809	-0.44884	2.96602
0.102443	-0.477507	3.05927
0.112286	-0.506964	3.15222
0.122727	-0.537197	3.24485
0.133779	-0.568196	3.33716
0.14546	-0.599948	3.42914
0.157782	-0.632439	3.52077
0.170762	-0.665657	3.61205
0.184413	-0.699589	3.70297
0.19875	-0.734222	3.79351
0.213787	-0.76954	3.88368
0.229536	-0.805531	3.97346
0.246012	-0.842179	4.06285
0.263228	-0.879471	4.15182
0.281195	-0.917391	4.24038
0.299928	-0.955924	4.32852
0.319436	-0.995054	4.41623
0.339734	-1.03477	4.50349
0.360831	-1.07504	4.5903
0.382739	-1.11587	4.67666
0.405469	-1.15724	4.76254
0.429032	-1.19911	4.84795
0.453437	-1.24149	4.93288
0.478695	-1.28436	5.01731
0.504815	-1.32769	5.10124
0.531805	-1.37146	5.18466
0.559676	-1.41567	5.26756
0.588435	-1.4603	5.34994
0.618091	-1.50532	5.43177
0.64865	-1.55071	5.51307
0.680121	-1.59647	5.59382
0.712511	-1.64257	5.674
0.745826	-1.68899	5.75362
0.780073	-1.73571	5.83266
0.815257	-1.78272	5.91112
0.851383	-1.83	5.98899
0.888458	-1.87753	6.06626
0.926486	-1.92528	6.14293
0.965471	-1.97325	6.21897
1.00542	-2.0214	6.2944
1.04633	-2.06973	6.3692
1.08821	-2.11821	6.44336
1.13106	-2.16682	6.51688
1.17488	-2.21555	6.58974
1.21968	-2.26436	6.66195
1.26546	-2.31326	6.73349
1.31221	-2.3622	6.80435
1.35994	-2.41119	6.87454
1.40866	-2.46019	6.94404
1.45835	-2.50918	7.01284
1.50903	-2.55815	7.08094
1.56068	-2.60708	7.14834
1.61331	-2.65594	7.21502
1.66691	-2.70472	7.28098
1.7215	-2.75341	7.34621
1.77705	-2.80196	7.4107
1.83357	-2.85038	7.47446
1.89106	-2.89864	7.53746
1.94952	-2.94672	7.59972
2.00893	-2.9946	7.66121
2.0693	-3.04226	7.72194
2.13062	-3.08969	7.78189
2.19289	-3.13685	7.84107
2.25609	-3.18375	7.89946
2.32023	-3.23035	7.95706
2.38531	-3.27664	8.01387
2.4513	-3.3226	8.06988
2.51821	-3.36821	8.12508
2.58602	-3.41345	8.17946
2.65474	-3.45831	8.23303
2.72435	-3.50276	8.28577
2.79485	-3.54679	8.33769
2.86622	-3.59038	8.38877
2.93846	-3.63352	8.43902
3.01156	-3.67619	8.48842
3.08551	-3.71836	8.53697
3.16029	-3.76003	8.58467
3.2359	-3.80117	8.63151
3.31233	-3.84177	8.67748
3.38957	-3.88181	8.72259
3.4676	-3.92129	8.76682
3.54642	-3.96017	8.81018
3.62601	-3.99845	8.85266
3.70635	-4.03611	8.89425
3.78745	-4.07314	8.93496
3.86927	-4.10951	8.97477
3.95182	-4.14523	9.01368
4.03508	-4.18026	9.05169
4.11903	-4.2146	9.0888
4.20366	-4.24824	9.12499
4.28895	-4.28116	9.16028
4.3749	-4.31334	9.19465
